posteam,team,season,myRankNum,myRank,passOffenseTier,tier,totalEP,totalYds,totalTD,successRate,EP_rank,yds_rank,TD_rank,success_rank
CIN,CIN,2016,17,1.4194,5,5,1093.34,3942,18,0.473,0.2903,0.5484,0.129,0.7419
GB,GB,2018,17,1.4194,5,5,1326.68,4242,26,0.433,0.8065,0.7419,0.3871,0.2903
WAS,WAS,2023,17,1.4194,5,5,1308.87,3727,29,0.417,0.7742,0.4516,0.6452,0.3226
JAX,JAX,2017,17,1.3871,5,5,1017.45,3599,22,0.436,0.3226,0.4839,0.2581,0.6452
DET,DET,2021,17,1.3226,5,5,1246.92,3608,25,0.444,0.6129,0.4516,0.4839,0.3871
NE,NE,2022,17,1,5,5,1062.08,3538,20,0.427,0.2258,0.3871,0.2903,0.3226
DAL,DAL,2024,18,1.5161,5,5,1370.54,3864,25,0.41,0.871,0.6774,0.6129,0.2258
IND,IND,2020,18,1.4839,5,5,1215.44,4055,25,0.476,0.5161,0.6774,0.2903,0.5161
MIA,MIA,2019,18,1.4516,5,5,1252.75,3806,24,0.436,0.7419,0.6452,0.3226,0.4839
CHI,CHI,2018,18,1.3871,5,5,1120.26,3572,29,0.466,0.3871,0.3548,0.4839,0.5484
NYG,NYG,2016,18,1.3871,5,5,1145.06,3879,27,0.437,0.3871,0.4839,0.5484,0.3548
TB,TB,2023,18,1.3871,5,5,1175.5,3814,28,0.434,0.5161,0.4839,0.5161,0.3871
HOU,HOU,2017,18,1.3548,5,5,997.74,3278,31,0.408,0.2258,0.3548,0.8065,0.1935
MIA,MIA,2021,18,1.2903,5,5,1271,3655,22,0.456,0.6774,0.4839,0.2581,0.5484
WAS,WAS,2022,18,1,5,5,1083.6,3476,26,0.405,0.2903,0.3548,0.4839,0.1613
SF,SF,2020,19,1.4516,5,5,1194.72,4035,28,0.464,0.3871,0.6452,0.4194,0.3871
GB,GB,2019,19,1.4194,5,5,1196.85,3737,26,0.439,0.5806,0.4839,0.4194,0.5161
LV,LV,2018,19,1.3226,5,5,1094.28,3753,22,0.472,0.3226,0.4516,0.2581,0.6129
SEA,SEA,2023,19,1.3226,5,5,1172.56,3914,23,0.438,0.4839,0.5806,0.3226,0.4194
MIA,MIA,2016,19,1.3226,5,5,870.22,3502,28,0.453,0,0.1935,0.6129,0.5161
LAC,LAC,2024,19,1.2581,5,5,1056.64,3635,23,0.453,0.1935,0.4194,0.3548,0.4839
SF,SF,2017,19,1.2258,5,5,1261.42,3925,16,0.427,0.9355,0.7419,0.0323,0.4516
TEN,TEN,2021,19,1.1935,5,5,1197.84,3420,23,0.459,0.4839,0.2581,0.3226,0.6129
IND,IND,2022,19,0.9355,5,5,1284.32,3433,22,0.423,0.7742,0.2903,0.4194,0.2258
LA,LA,2020,20,1.4194,5,5,1205.23,4016,22,0.49,0.4516,0.5806,0.1935,0.6452
