receiver_player_id,player,posteam,season,numGames,tgt_share,numYards,numTD,numRec,wr_rank,playerYear,passOffenseTier,qbTier,runOffenseTier,player_name,position,points,NY_posteam,NY_numGames,NY_tgtShare,NY_seasonYards,NY_wr_rank,NY_playerYear,NY_passOffenseTier,NY_qbTier,NY_points,receiver_player_name,epaTier,NY_passFreqTier
00-0037840,Kyren Williams,LA,2024,16,0.0731261426,182,2,34,8,3,3,7,4,K.Williams,RB,299.8,LA,16,0.077303445,,7,4,4,4,,K.Williams,8,4
00-0038041,Jake Ferguson,DAL,2024,14,0.153024911,494,0,59,2,3,5,7,8,J.Ferguson,TE,104.4,DAL,16,0.1777777778,,3,4,5,5,,J.Ferguson,8,1
00-0038046,Charlie Kolar,BAL,2024,13,0.02827763496,131,1,9,8,3,1,1,1,C.Kolar,TE,28.3,BAL,16,0.0675990676,,7,4,1,1,,C.Kolar,NA,8
00-0038115,Daniel Bellinger,NYG,2024,17,0.0265625,125,0,14,8,3,8,8,5,D.Bellinger,TE,26.5,NYG,16,0.09236947791,,5,4,8,7,,D.Bellinger,NA,2
00-0038117,Wan'Dale Robinson,NYG,2024,17,0.21875,699,5,93,2,3,8,8,5,W.Robinson,WR,182.7,NYG,16,0.2433636202,,2,4,8,7,,W.Robinson,8,2
00-0038120,Breece Hall,NYJ,2024,16,0.124386252,483,3,57,4,3,4,6,8,B.Hall,RB,240.9,NYJ,16,0.1373255706,,3,4,8,7,,B.Hall,8,3
00-0038129,Cade Otton,TB,2024,14,0.1743486974,600,4,59,3,3,1,2,2,C.Otton,TE,145.8,TB,16,0.1981796829,,4,4,3,2,,C.Otton,8,3
00-0038134,Kenneth Walker III,SEA,2024,11,0.1207289294,299,1,46,4,3,4,6,5,K.Walker,RB,181.2,SEA,16,0.1178402043,,6,4,5,4,,K.Walker,8,2
00-0038393,Dontayvion Wicks,GB,2024,17,0.1504950495,415,5,39,4,2,2,4,2,D.Wicks,WR,116.4,GB,16,0.1863207547,,4,3,1,3,,D.Wicks,8,8
00-0038542,Bijan Robinson,ATL,2024,17,0.1222410866,431,1,61,5,2,3,7,2,B.Robinson,RB,341.7,ATL,16,0.1254505023,,5,3,3,5,,B.Robinson,8,4
00-0038543,Jaxon Smith-Njigba,SEA,2024,17,0.212962963,1178,7,100,1,2,4,6,5,J.Smith-Njigba,WR,253,SEA,16,0.2410423453,,1,3,5,4,,J.Smith-Njigba,4,2
00-0038544,Quentin Johnston,LAC,2024,15,0.190376569,724,8,55,2,2,5,5,5,Q.Johnston,WR,174.7,LAC,16,0.219466248,,3,3,4,4,,Q.Johnston,3,7
00-0038547,Luke Schoonmaker,DAL,2024,17,0.05333333333,241,1,27,7,2,5,7,8,L.Schoonmaker,TE,57.1,DAL,16,0.1259168704,,6,3,5,5,,L.Schoonmaker,6,1
00-0038558,Darnell Washington,PIT,2024,17,0.04570383912,200,1,19,7,2,6,7,4,D.Washington,TE,46.9,PIT,16,0.078125,,7,3,6,6,,D.Washington,NA,7
00-0038559,Michael Wilson,ARI,2024,16,0.1322160149,548,5,47,3,2,5,4,3,M.Wilson,WR,124.5,ARI,16,0.1553816047,,3,3,5,3,,Mi.Wilson,8,6
00-0038563,Tre Tucker,LV,2024,17,0.1185944363,539,3,47,3,2,6,8,8,T.Tucker,WR,129.3,LV,16,0.1418112798,,4,3,6,7,,T.Tucker,8,3
00-0038597,Chase Brown,CIN,2024,16,0.09984639017,360,4,54,4,2,1,1,8,C.Brown,RB,255,CIN,16,0.1101606843,,5,3,1,1,,C.Brown,8,1
00-0038606,Parker Washington,JAX,2024,17,0.09075342466,392,3,32,7,2,7,7,7,P.Washington,WR,97,JAX,16,0.1714975845,,3,3,6,6,,P.Washington,6,5
00-0038608,Kayshon Boutte,NE,2024,15,0.1306818182,592,3,43,3,2,8,8,6,K.Boutte,WR,121.9,NE,16,0.1573920266,,6,3,7,6,,K.Boutte,5,6
00-0038619,Andrei Iosivas,CIN,2024,17,0.08701854494,479,6,36,6,2,1,1,8,A.Iosivas,WR,119.9,CIN,16,0.09988340459,,4,3,1,1,,A.Iosivas,3,1
00-0038621,Demario Douglas,NE,2024,17,0.1492281304,622,3,66,2,2,8,8,6,D.Douglas,WR,147.7,NE,16,0.1800185586,,3,3,7,6,,D.Douglas,6,6
00-0038705,Emari Demercado,ARI,2024,13,0.04784688995,104,0,16,6,2,5,4,3,E.Demercado,RB,54.7,ARI,16,0.08974358974,,7,3,5,3,,E.Demercado,NA,6
